server: http://10.3.64.49:24870
"Language","Tag","Type","SHA1"
"swe-SWE","selfntg6x2","QuickNLU","ac03aafb5158a9bd94428454b92f62cc18fe15d0"
"deu-DEU","schoolvacation20","QuickDialog","f9d1bba8c83f53b161b7c7bb6b0c4d6e59a86077"
"deu-DEU","chatbot","QuickDialog","5f5a0a4779d1e01b4723ac9ad540685082dfcb3b"
"deu-DEU","datetime","QuickDialog","e66ade92b31eb66e1dda215aa0988a119a57fd6a"
"deu-DEU","stocks20","QuickDialog","b4b38f917736cebc1d459127e7831bed4cf46efe"
"yue-CHN","sonicdaimler","QuickNLU","b63b29fce42e5dd69205741c4bdef04af3537934"
"cmn-TWN","selfntg6x2","QuickNLU","803572dd73ff033693b7cfd7be0eff2b857b0161"
"pol-POL","selfnlps","QuickNLU","417b622e99aeeca5c10299471ab9b1359f0abdfb"
"cmn-CHN","currency","QuickDialog","857d14a5d37fd8863ab0aa3e3018b918a21b80c2"
"cmn-TWN","sonicdmlr2","QuickNLU","7ffe11315a4308fddcd1a2f7740fec93a953d454"
"eng-IND","sonicdmlr2","QuickNLU","f5c3702eb5fc4bd8b1354daf7d79b3277caa0c5f"
"eng-USA","publicholidays20","QuickDialog","0b5611c381d8b75d225aa30a352b7068044cd6a4"
"eng-GBR","currency20","QuickDialog","e4c70bee6dbe073a738bbceb689646566a387ce8"
"eng-GBR","ico","QuickDialog","2f4336dfe74d2747d72cd1837d3b3bee72bcd68d"
"eng-USA","sonicdmlr2","QuickNLU","fa19cbeb8c100121d782cabe6bf97bcb5f646721"
"eng-GBR","stocks20","QuickDialog","880b127a28e3cb41ea5659a8d8ebce373cac0bfa"
"eng-MYS","sonicdmlr2","QuickNLU","f1ac0bdca926d2b64e3c7a44e0c9b30216ef95ea"
"nld-NLD","chatbot20","QuickDialog","490e0163ed143d40948e599028053a48710f88f2"
"deu-DEU","sport","QuickDialog","b42fb2581cc937e183cb1ab8015745c008171ca6"
"sic-CHN","chatbot20","QuickDialog","56738f2ec722aa98c301d99cb696912c7876777e"
"cmn-CHN","calculator","QuickDialog","895e458b6a5d946cb4601468d3271ffc48fb09a4"
"eng-USA","currency","QuickDialog","4bfb4171163726ca41a7592b6919118ebddfa74e"
"rus-RUS","selfnlps","QuickNLU","57e288bf7b8a7edd878c848e318ea40be367dc94"
"spa-XLA","selfnlps","QuickNLU","41efa961f45d3e7086cda346f771e0a630594021"
"sic-CHN","sonicdaimler","QuickNLU","b8c5a6710a58dd52cc3e0c1307089bafc8c851b3"
"eng-CHN","sonicdmlr2","QuickNLU","d3644a6c2bffa0ed76dcd51f26183961a967e449"
"kor-KOR","selfnlps","QuickNLU","3c6d6cedba81f436885b7cbe26bd495337284be4"
"yue-CHS","chatbot20","QuickDialog","8b8f438d844c044f3c72e8ce041ab425580ca5e8"
"yue-CHN","ico","QuickDialog","f292af996722d771062cdf14ba45bdf85b9ae2b8"
"eng-USA","sport20","QuickDialog","76746a8c4428093f2dcd9ada747c2de83be3b2fe"
"eng-MYS","chatbot20","QuickDialog","4feb10782c8d846f0bcf7d7c148532b529b3da68"
"por-BRA","sonicdaimler","QuickNLU","039142e32c2eb183ac79ae49a2df017d86289756"
"eng-GBR","flightstatus","QuickDialog","ffd1af1e89b5e4ff3a45fbd35063bde3c43df147"
"eng-USA","geoquiz20","QuickDialog","67b217360df435f70e4f19163efe275b44ae8df4"
"cmn-CHN","geoquiz20","QuickDialog","bdf11c2460007e1118fe099d726ea19b72110107"
"kor-KOR","selfntg6x2","QuickNLU","a7369dc68fe7dea60b2232b5288833aeb83e0c23"
"nld-NLD","ico","QuickDialog","9fb5abb913944dc6af469b19cec2c9250971656f"
"por-PRT","selfntg6","QuickNLU","3d31fb4b08e4f3425b821c8371451aee6177320e"
"por-BRA","selfnlps","QuickNLU","98d08215b10ac6002cf9d9a2036b97308b97e3a7"
"swe-SWE","selfnlps","QuickNLU","cc0733ef79af21c6994b2d3cd6f26e6d4139342d"
"cmn-CHN","datetime20","QuickDialog","3d516d020917e6046d1561c863f59928b6f91356"
"rus-RUS","sonicdaimler","QuickNLU","857c6e78f379a88939e05b0963760f7849fc7614"
"yue-CHN","selfntg6","QuickNLU","bb12b173db816c245cf8836596e860e31133cb37"
"spa-ESP","chatbot20","QuickDialog","0b552f54bfedadc2d307bdf2d2313897fd9eddf4"
"jpn-JPN","chatbot20","QuickDialog","4e09822baf82959c015bfdd9b179be94d485c157"
"rus-RUS","sonicdmlr2","QuickNLU","04a4378397de7e15b1e1e8df2a881880e3a0e2ca"
"eng-GBR","selfnlps","QuickNLU","89f5e752ad25256eb778eb0ef96852546e20806a"
"spa-ESP","sonicdaimler","QuickNLU","a2d4613f6584948ab320f5dfa66205cc0bd6554b"
"spa-XLA","sonicdmlr2","QuickNLU","615867f1b55671bcc1365235ae45b3fe8a786825"
"eng-USA","flightstatus20","QuickDialog","0b5e9d68bf3128a85cc01279e9258b61b801bf26"
"por-PRT","sonicdmlr2","QuickNLU","30ca1b32ddc09608cbf367470191fefd1e768252"
"deu-DEU","calculator","QuickDialog","fc0852bddc4e5cd7e6370df46d30501db8a56de7"
"deu-DEU","geoquiz20","QuickDialog","1a06c94c9b2877792229f851fd5c3b4db4ea5780"
"eng-GBR","flightstatus20","QuickDialog","67a3f2f40f57ae00949f4599e83de134a86ab4c8"
"jpn-JPN","chatbot","QuickDialog","874f9511fd90a28b4063f4d8a37aa7241092a741"
"cmn-CHN","selfntg6","QuickNLU","db8b01158762a2decd5f4ac380e743f8143cf7a0"
"jpn-JPN","selfnlps","QuickNLU","feeaacc909090ee64dd0a619264103664fbf9814"
"por-PRT","selfntg6x2","QuickNLU","101d2e063b1006e690fb02441b885932aa1eb786"
"tur-TUR","selfntg6","QuickNLU","58ebf49890dc8a74d4c107ad611149a37c908551"
"yue-CHS","ico","QuickDialog","c580b273677fdd24dcfa794809f6667d5f2ecd96"
"ces-CZE","chatbot","QuickDialog","0f02da823ca7fddc872cd416011e14e602de3599"
"spa-ESP","selfnlps","QuickNLU","68a92695dbd057d85cdb653010d8c07098243587"
"deu-DEU","selfntg6x2","QuickNLU","6033a1eab6e807177b93b38948155bd9b6e48c3c"
"eng-MYS","chatbot","QuickNLU","0e60efb517df92e54d6ce1e0a619a3f89d7b8dae"
"eng-MYS","chatbot","QuickDialog","4feb10782c8d846f0bcf7d7c148532b529b3da68"
"cmn-CHN","selfntg6x2","QuickNLU","71c08d6bbb735e8d8017234959729978054f785d"
"swe-SWE","sonicdmlr2","QuickNLU","f593ee253340c6267f0d0a3230b609f51235335f"
"spa-XLA","chatbot20","QuickDialog","6a84b35b86278a5a89284860235d1bc81c97c3f6"
"cmn-TWN","chatbot20","QuickDialog","4ae4ec46beefd562675571a479199e842cfc757c"
"deu-DEU","schoolvacation","QuickDialog","581701f52ede7a4b0b1f3a7f717bddca84da6fed"
"eng-GBR","sonicdaimler","QuickNLU","1fef955af454797b677ea855a2982cff8f44f61e"
"pol-POL","chatbot20","QuickDialog","43065c5e4fc1db2ad14c00ef132730a1667430a9"
"por-PRT","selfnlps","QuickNLU","3d31fb4b08e4f3425b821c8371451aee6177320e"
"spa-ESP","selfntg6x2","QuickNLU","0b96222a3cf001ee4b98797329a8a2d4b8ae3b96"
"kor-KOR","chatbot","QuickDialog","851b43930d365ea7d5cc0e59239b748dd85a607d"
"cmn-TWN","selfntg6","QuickNLU","caa6763182fd65c7158d52ab43ca23bb91969727"
"ita-ITA","sonicdmlr2","QuickNLU","b075531decbc157eb7e5fc27afd26e86365a29e1"
"eng-AUS","sonicdmlr2","QuickNLU","0bdf5340f6d57ded9fd01c9b8af02f9283f5f9fb"
"eng-GBR","calculator","QuickDialog","0013a6acd7ec9c188fa5c5ca303585f0006151d9"
"fra-CAN","selfntg6x2","QuickNLU","717f6d787ec55eebd4599d7ffa948ecbf0f76728"
"por-BRA","chatbot","QuickDialog","ab577f157fa7c59a507ec11dc60254e4e2caeaaa"
"kor-KOR","ico","QuickDialog","e2e0018da44108399cc91fb3b3f4ea451b113524"
"eng-AUS","chatbot","QuickDialog","a2000af925a3b04819f1b5835cf95b14ed00d90c"
"eng-USA","horoscope20","QuickDialog","5ecc3c9fc862298b44065d92ff767163726f0009"
"fra-CAN","ico","QuickDialog","70b30dcf871074e5c860fe54105d8c30ed73b646"
"fra-FRA","sonicdaimler","QuickNLU","0e7deea5df83d6bc844658d08d5818cb0e4d221c"
"eng-USA","chatbot","QuickDialog","a32514ca607d0449fc7b1392ca25ab4e7884810f"
"spa-ESP","ico","QuickDialog","74160cc3bc9c872f34cd4369e7904a0110abdad8"
"pol-POL","selfntg6","QuickNLU","417b622e99aeeca5c10299471ab9b1359f0abdfb"
"cmn-CHN","selfnlps","QuickNLU","a95ddd6dc28d649e1270df2beaeb30b4a3e9e943"
"eng-CHN","selfntg6x2","QuickNLU","b5bb2a93ab5dd0fad357873e4d8cfdf5af2ffdd7"
"eng-USA","cityevent20","QuickDialog","f954d17c5cf5a77100253dadbc8d5ab2b1c42216"
"fra-FRA","selfnlps","QuickNLU","84b8a98ea3bc079b74ee5666927e4d6fbfd1339b"
"jpn-JPN","selfntg6x2","QuickNLU","c7e10abe35a7cd4fc225d92cc5c8e9f7cb54040c"
"eng-USA","selfntg6","QuickNLU","aca58a753d375e66d24d92695e1026b2abc9beb3"
"ita-ITA","selfntg6x2","QuickNLU","5d12ec97e752ea2e7536a6248b7be234c95d4cfc"
"deu-DEU","publicholidays","QuickDialog","8ca3aa2e2c3dff2a11c90c768389f0c4c017a824"
"nld-NLD","chatbot","QuickDialog","490e0163ed143d40948e599028053a48710f88f2"
"nld-NLD","selfnlps","QuickNLU","103a0f4e632cc2a0676a1cf863e1343e48e3941f"
"deu-DEU","stocks","QuickDialog","81da9f85a9a72bacd689408dafbe68ae75d30766"
"cmn-CHN","geoquiz","QuickNLU","7dfc0d651b204c029cf0793ab59642064c5bd04e"
"cmn-CHN","geoquiz","QuickDialog","7698c49ebf2fba13b5cfb091e44195d94b61f6d1"
"eng-IND","selfntg6x2","QuickNLU","7b8ace37c91fcec850d4d5093bbe74068d8f0d77"
"cmn-CHN","sonicdmlr2","QuickNLU","a8aa6aa114b8c9c6040e48b04e2cc79a90ca968f"
"cmn-CHN","datetime","QuickNLU","50921f4a114ff8247faf6b014805703c6047b5d9"
"cmn-CHN","datetime","QuickDialog","e43f664bfd12aed0486fb8a8e19ebcc5599f65c6"
"deu-DEU","sport20","QuickDialog","ec883b11aa64707f1848750a3689016ed2f584e8"
"cmn-CHN","publicholidays20","QuickDialog","44f8232456509ba660ce23a49b96f34747596579"
"eng-GBR","unitconverter","QuickDialog","ae523876acdc01bdda5132a9207a47f0829f9f04"
"eng-USA","horoscope","QuickDialog","f8f165c3821d80efc881cb82b1c0cf32a6cd24e1"
"fra-FRA","sonicdmlr2","QuickNLU","6c56f5b907a37ba64a5db231c4696e1aa7627fa9"
"yue-CHN","sonicdmlr2","QuickNLU","2aaa1db996abd12fbb27160242ff6331b5844e4f"
"deu-DEU","soccer","QuickDialog","3e75cbebaa353939e8ee8465099d27e2c8a52020"
"eng-MYS","sonicdaimler","QuickNLU","0383782e33f817df36a69add44c422383f1fb6ea"
"cmn-CHN","currency20","QuickDialog","ddb8f4bd04ae52f89149ea65c34e55bb6fdcd93f"
"tur-TUR","chatbot","QuickDialog","d81f933564a5cefa434aa4dd9805133f7d567c3f"
"eng-USA","cityevent","QuickDialog","8f992b4f0b5fcc86cf1e201a8f13c035683edc81"
"pol-POL","sonicdaimler","QuickNLU","bb9a4c1e6bf2430b337151f484004039e2405385"
"ces-CZE","sonicdmlr2","QuickNLU","b03a2104e7ca746935b45b9596c0ed46d15dc8fc"
"tur-TUR","sonicdaimler","QuickNLU","edbba08f4ed7d7b4a9395cdfdcabca48aed41791"
"deu-DEU","publicholidays20","QuickDialog","96bfdebef29efc962ad4511bd196f7389ea21488"
"spa-XLA","selfntg6x2","QuickNLU","5f715a1cc8800de4100467f107082e84c1b8cde0"
"cmn-CHN","unitconverter","QuickDialog","781a333e02f721963fed062ccbd3b0884be12652"
"spa-XLA","chatbot","QuickDialog","6a84b35b86278a5a89284860235d1bc81c97c3f6"
"deu-DEU","unitconverter20","QuickDialog","0bef96414990a7ebaecf8466932b3511d08a78a7"
"kor-KOR","sonicdmlr2","QuickNLU","6787966772a160e375164723114a594648ea2dd9"
"fra-FRA","chatbot20","QuickDialog","4abc8dcc89c59b7e876fa4bd5dfe3079298f8507"
"por-PRT","chatbot","QuickDialog","c2ac3cba847a394629e0e5924797e46b81f7ea6b"
"cmn-CHN","sonicdaimler","QuickNLU","5a1235ad4b00aa5aa76a7c5e1c03c81f2d4d6944"
"cmn-TWN","chatbot","QuickDialog","4ae4ec46beefd562675571a479199e842cfc757c"
"eng-GBR","selfntg6x2","QuickNLU","d12c0699f49604611678da27c6e73edd57842720"
"eng-CHN","chatbot","QuickDialog","8c64ec836555188acc7dce109a6aff1b79d191ae"
"nld-NLD","selfntg6","QuickNLU","aea595aeac4891a0131d3b42b71e8e014ad00cfc"
"rus-RUS","selfntg6","QuickNLU","57e288bf7b8a7edd878c848e318ea40be367dc94"
"sic-CHN","chatbot","QuickDialog","56738f2ec722aa98c301d99cb696912c7876777e"
"eng-GBR","geoquiz20","QuickDialog","1cbafdeea0fcad730d8faa14bf672bc215f3e05d"
"eng-USA","stocks","QuickDialog","7ae6d407deb5f544bd6dcaca0d78ae47bc7bb35e"
"eng-GBR","smartude","QuickDialog","26e361414d1f406fd146ae122ab70c5af6eaa4ec"
